,texture,filename,empresa,gravel_size,image
1304,169.5,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_029.tif,tecbrita,4.75 (#4),Image_029.tif
1305,28.2,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_030.tif,tecbrita,4.75 (#4),Image_030.tif
1306,183.0,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_031.tif,tecbrita,4.75 (#4),Image_031.tif
1307,120.4,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_032.tif,tecbrita,4.75 (#4),Image_032.tif
1308,191.6,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_033.tif,tecbrita,4.75 (#4),Image_033.tif
1309,129.0,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_034.tif,tecbrita,4.75 (#4),Image_034.tif
1310,99.5,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_035.tif,tecbrita,4.75 (#4),Image_035.tif
1311,165.8,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_036.tif,tecbrita,4.75 (#4),Image_036.tif
1312,57.7,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_037.tif,tecbrita,4.75 (#4),Image_037.tif
1313,515.8,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_038.tif,tecbrita,4.75 (#4),Image_038.tif
1314,245.6,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_039.tif,tecbrita,4.75 (#4),Image_039.tif
1315,843.7,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_040.tif,tecbrita,4.75 (#4),Image_040.tif
1316,671.8,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_041.tif,tecbrita,4.75 (#4),Image_041.tif
1317,630.0,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_042.tif,tecbrita,4.75 (#4),Image_042.tif
1318,933.4,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_043.tif,tecbrita,4.75 (#4),Image_043.tif
1319,88.4,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_044.tif,tecbrita,4.75 (#4),Image_044.tif
1320,174.4,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_045.tif,tecbrita,4.75 (#4),Image_045.tif
1321,497.4,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_046.tif,tecbrita,4.75 (#4),Image_046.tif
1322,278.8,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_047.tif,tecbrita,4.75 (#4),Image_047.tif
1323,732.0,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_048.tif,tecbrita,4.75 (#4),Image_048.tif
1324,113.0,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_049.tif,tecbrita,4.75 (#4),Image_049.tif
1325,488.8,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_000.tif,tecbrita,9.5 (0.375),Image_000.tif
1326,755.3,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_001.tif,tecbrita,9.5 (0.375),Image_001.tif
1327,461.8,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_002.tif,tecbrita,9.5 (0.375),Image_002.tif
1328,571.1,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_003.tif,tecbrita,9.5 (0.375),Image_003.tif
1329,223.5,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_004.tif,tecbrita,9.5 (0.375),Image_004.tif
1330,410.2,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_005.tif,tecbrita,9.5 (0.375),Image_005.tif
1331,479.0,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_006.tif,tecbrita,9.5 (0.375),Image_006.tif
1332,379.5,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_007.tif,tecbrita,9.5 (0.375),Image_007.tif
1333,480.2,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_008.tif,tecbrita,9.5 (0.375),Image_008.tif
1334,233.3,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_009.tif,tecbrita,9.5 (0.375),Image_009.tif
1335,668.1,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_010.tif,tecbrita,9.5 (0.375),Image_010.tif
1336,297.2,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_011.tif,tecbrita,9.5 (0.375),Image_011.tif
1337,281.2,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_012.tif,tecbrita,9.5 (0.375),Image_012.tif
1338,136.3,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_013.tif,tecbrita,9.5 (0.375),Image_013.tif
1339,437.2,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_014.tif,tecbrita,9.5 (0.375),Image_014.tif
1340,743.0,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_015.tif,tecbrita,9.5 (0.375),Image_015.tif
1341,179.3,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_016.tif,tecbrita,9.5 (0.375),Image_016.tif
1342,164.6,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_017.tif,tecbrita,9.5 (0.375),Image_017.tif
1343,287.4,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_018.tif,tecbrita,9.5 (0.375),Image_018.tif
1344,358.6,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_019.tif,tecbrita,9.5 (0.375),Image_019.tif
1345,206.3,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_020.tif,tecbrita,9.5 (0.375),Image_020.tif
1346,757.8,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_021.tif,tecbrita,9.5 (0.375),Image_021.tif
1347,407.7,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_022.tif,tecbrita,9.5 (0.375),Image_022.tif
1348,323.0,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_023.tif,tecbrita,9.5 (0.375),Image_023.tif
1349,187.9,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_024.tif,tecbrita,9.5 (0.375),Image_024.tif
1350,315.6,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_025.tif,tecbrita,9.5 (0.375),Image_025.tif
1351,212.5,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\9.5 (0.375)\Texture\Image_026.tif,tecbrita,9.5 (0.375),Image_026.tif
